CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1600,118.4,126.5,3200,540,800,0.15,1.95,800,-1.7,0.4,33.62,2,1,1
-,-,-,-,-,-,1600,99.05,107.1,1600,560,800,0.35,1.65,800,-3.1,0.45,29,2,1,1
-,-,-,-,-,-,3200,79.9,87.65,8000,580,1600,0.8,2.4,800,-4.8,0.8,26.41,5,5,5
-,-,-,-,-,-,3200,69.75,77.7,11200,590,2400,1.2,2.35,800,-1.65,1.25,25.93,3,1,1
8,1,5,-,61.3,-6.2,800,63.25,65,800,600,1600,1.85,2.15,1600,-0.2,2.1,26.07,58,16,85
-,-,-,-,-,-,5600,51.45,56.8,2400,610,1600,2.75,2.95,800,0.05,3,25.34,22,18,18
-,-,-,-,-,-,4000,42.4,48.1,2400,620,1600,4,4.2,800,-0.1,4.2,24.52,93,35,93
-,-,-,-,-,-,4000,34.2,39.6,1600,630,800,5.65,5.95,800,0.25,6,24.03,97,42,129
4,1,9,19.92,30.3,-6.3,800,29.65,31.4,1600,640,800,8.2,8.55,800,0.65,9.15,24.68,127,62,147
28,22,32,20.9,24.25,-4.55,800,23.8,24.55,1600,650,800,11.75,12.1,800,0.75,12.2,24.03,110,11,178
203,170,298,21.28,18.8,-2.9,800,18.45,18.9,800,660,800,14.5,16.45,800,0.35,16.2,23.63,176,63,296
249,65,230,20.48,13.4,-3.6,800,13.5,14.2,800,670,800,20.05,22,800,0.75,22,24.48,151,10,228
290,41,224,21.2,10.1,-2.85,800,10.2,10.55,800,680,800,27.4,28.35,800,1.05,28,24.55,42,-2,212
160,28,168,21.44,7.25,-2.85,800,7.35,7.7,800,690,800,34.6,35.55,800,2.9,35.95,26.35,21,11,67
732,-26,743,22.27,5.45,-1.75,800,5.25,5.8,800,700,800,42.35,44.6,1600,3.3,44.05,27.68,23,-12,356
140,15,138,22.06,3.6,-1.75,1600,3.7,3.9,1600,710,1600,50.5,54.75,4000,-,43.25,-,-,-,54
200,61,152,22.67,2.6,-1.2,1600,2.5,2.7,800,720,800,58.25,60.6,800,4.8,61.4,30.49,12,2,100
142,6,44,23.33,1.9,-1,2400,1.75,1.95,800,730,800,68,69.7,800,6,70,30.98,1,1,37
113,18,29,23.62,1.3,-1.2,800,1.05,1.45,800,740,800,75.3,79.2,800,-0.1,70.9,-,3,1,28
273,25,91,24.26,0.95,-0.9,3200,0.9,1,800,750,800,86.75,88.75,800,-3.95,80.45,-,4,-,114
43,-22,39,25.79,0.85,-0.45,800,0.8,0.9,800,760,1600,94.1,101.4,3200,-,76.5,-,-,-,5
1,-,-,-,2.4,-,32000,0.35,1.25,800,770,1600,104.05,111.4,3200,-,94,-,-,-,1
16,3,24,27.2,0.5,-0.55,800,0.35,0.5,6400,780,1600,113.3,120.85,3200,-,84.5,-,-,-,1
20,3,3,29.72,0.4,-,3200,0.25,0.4,6400,800,800,135.65,138.8,800,-0.15,132.3,-,3,2,85
1,-,-,-,4.5,-,800,0.15,0.8,3200,820,1600,153.45,160.6,3200,-,147.5,-,-,-,2
