CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,350,564.1,599,350,2520,700,0.35,1.6,175,-,-,-,-,-,-
-,-,-,-,-,-,350,524.25,559.4,350,2560,175,1.15,1.6,1400,-0.3,1.6,31.13,2,1,2
11,-,-,-,535,-,875,492.6,509.85,875,2600,875,1.4,1.6,700,-0.9,1.6,28.97,298,54,263
-,-,-,-,-,-,175,451.15,477.5,350,2640,175,1.35,1.85,175,-1.15,1.15,25.57,12,2,8
-,-,-,-,-,-,175,411.6,439,350,2680,1400,1.6,1.9,175,-1.05,1.9,25.37,107,46,46
-,-,-,-,-,-,175,372.25,399.65,350,2720,350,2,2.1,6125,-1.55,2.05,23.5,1497,427,993
-,-,-,-,-,-,175,333.2,358.35,350,2760,175,2.7,2.85,700,-1.85,2.7,22.38,528,128,505
-,-,-,-,-,-,350,306.85,338.05,350,2780,175,3.2,3.35,175,-1.9,3.3,22.06,550,153,298
121,1,2,-,303,-12.6,175,301.7,305.35,175,2800,350,3.8,3.9,175,-2.4,3.9,21.61,1285,78,1534
-,-,-,-,-,-,700,271.65,300.6,700,2820,175,4.55,4.7,350,-2.25,4.6,21.14,712,82,232
-,-,-,-,-,-,700,252.75,281.65,700,2840,175,5.6,5.95,175,-2.4,5.65,20.87,509,98,571
-,-,-,-,-,-,700,234,263.65,700,2860,175,6.65,6.85,175,-2.25,6.8,20.51,337,86,267
-,-,-,-,-,-,700,215.85,245.1,700,2880,175,7.05,8.5,700,-1.95,8.3,20.23,479,79,463
269,5,50,10.52,209.5,-14.85,175,204.5,215,175,2900,175,10.1,10.35,1050,-2.4,9.95,19.87,1955,84,2551
-,-,-,-,-,-,875,180.1,208.3,350,2920,5250,10.05,12.75,350,-2,12.25,19.68,475,38,268
18,-,-,-,192.5,-,875,165.25,189.35,525,2940,175,14.85,15.4,350,-2.6,14.8,19.41,551,72,482
3,-,-,-,177,-,350,147.1,175.2,350,2960,175,17.95,18.75,175,-2.1,18.15,19.27,878,-5,504
53,29,47,15.63,143.1,-12.6,350,141.15,144.7,175,2980,175,21.8,22.5,175,-1.95,21.7,18.99,592,20,428
1952,-86,1193,16.16,128.7,-12.55,525,125.6,129.2,175,3000,350,26.5,27,350,-1.8,26.3,18.88,4188,156,3718
146,9,88,16.33,114.4,-11.6,350,112.6,114.3,175,3020,175,31.7,32.85,525,-0.75,31.9,18.85,1011,14,639
402,62,222,15.88,99.1,-13,700,95.8,102.95,175,3040,175,37.95,40,175,-0.55,38.55,18.89,666,54,967
392,83,436,16.52,88.3,-10.55,175,86,87.85,175,3060,175,45.2,46.45,350,0.8,45.9,18.88,1221,105,927
690,240,1605,16.15,75.15,-11.25,175,75.1,76.05,175,3080,175,53.45,55,1925,0.85,53.95,18.82,1593,120,845
5284,918,7034,16.34,65,-10.65,175,64.6,65.65,350,3100,525,62.5,64,875,1.45,63.45,18.91,4066,377,4422
1305,255,2731,16.28,55,-10.2,22750,55,55.95,350,3120,175,72.9,74.8,175,2.45,74,19.03,984,124,1099
3959,2565,5529,16.37,46.6,-9.4,175,46.05,47.25,350,3140,350,83.85,88.3,350,2.4,84.45,18.88,757,11,1288
