CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,-,-,-,316,-,1200,283.45,299,2400,1200,600,0.3,0.95,1200,-,0.8,-,-,-,2
-,-,-,-,-,-,1200,243.55,260.25,2400,1240,600,0.25,2.25,600,-,-,-,-,-,-
-,-,-,-,-,-,1200,205.1,218.35,2400,1280,600,0.75,1.9,600,-0.15,1,27.03,1,1,2
1,-1,1,-,190,-5,600,190.1,194.4,600,1300,1200,1.3,1.45,159600,-0.35,1.35,26.05,130,104,136
-,-,-,-,-,-,1200,165.3,180.95,1200,1320,600,0.65,3.15,3000,-,2,-,-,-,1
4,-,-,-,200,-,1200,147.6,162.4,1200,1340,600,2.7,3,600,-0.85,2.85,24.83,115,57,62
-,-,-,-,-,-,1200,128.65,143.75,1200,1360,600,3.75,4.2,600,-0.3,3.9,23.95,81,14,105
-,-,-,-,-,-,1200,109.85,121.25,1800,1380,600,4.7,6,600,-27.6,5.8,23.64,11,9,9
31,14,27,12,98.75,-12.65,600,98.3,105.8,15600,1400,600,8,8.35,1800,0.6,8.4,23.31,313,17,297
1,-,-,-,112,-,1200,77.5,87.35,1800,1420,600,11.35,11.95,600,1.2,11.9,22.98,165,36,134
33,25,66,17.04,67.45,-9.75,600,66.7,71.95,600,1440,600,15.95,16.7,600,1.7,16.75,22.84,305,88,199
50,16,122,17.67,53.8,-8.75,600,53.4,55.5,600,1460,600,19,22.9,600,2.1,22.8,22.61,502,44,165
88,61,355,18.56,42.7,-8.35,600,41.8,42.95,1200,1480,600,30.05,30.9,600,2.7,30.15,22.3,730,41,152
616,173,1313,18.51,32.05,-7.25,600,31.75,33.45,1200,1500,1200,39.05,40.6,600,4.05,40.6,22.87,1187,101,586
275,42,1052,18.58,23.5,-7.05,600,22.7,24.15,1800,1520,1200,49.7,52.15,600,5.15,51.65,22.88,341,7,184
305,32,689,18.77,16.95,-5.75,600,16.8,17.95,600,1540,600,62.55,65.55,600,5.85,65.35,23.61,148,35,157
291,157,685,18.77,11.7,-4.75,600,11.65,12.35,600,1560,600,77.2,80.65,600,6.6,80.75,24.66,53,8,209
119,65,345,19.1,8.2,-3.4,600,8,8.9,600,1580,1200,89.85,101.8,1200,2.2,87.95,-,-,-,7
386,2,480,19.4,5.65,-2.85,600,5.5,7.3,600,1600,600,110.4,114.8,600,17.4,114.4,27,44,18,221
91,11,165,19.5,3.7,-1.9,600,3.65,3.8,1200,1620,600,127.3,132.8,600,7.55,132.05,28.13,34,24,44
90,3,80,19.66,2.4,-1.75,600,2.4,2.6,600,1640,1200,140.7,155.85,1200,-,113,-,-,-,4
65,8,72,20.22,1.7,-1.15,600,1.5,1.85,1200,1660,1200,159.95,174.9,1200,-,159,-,-,-,2
496,363,612,20.59,1.15,-1,1200,1.05,1.15,600,1680,1200,181.55,191.4,600,1,180,18.84,2,2,62
3,1,1,27.3,2.35,-0.15,600,0.7,1.35,600,1720,1200,219.25,234.75,1200,-,191,-,-,-,18
8,-,-,-,1,-,4800,0.4,1.3,3000,1760,600,264.15,271.8,600,4.5,250,-,3,-1,34
