CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,400,546.4,611.25,400,2400,2800,1.35,8.85,200,-,-,-,-,-,-
2,1,2,42.2,490,-35,400,468.8,498.7,200,2500,200,3.95,8.45,200,-6.5,5.2,35.13,45,12,27
-,-,-,-,-,-,400,401.35,465.2,800,2550,200,2,18.4,200,-,-,-,-,-,-
5,-,-,-,523.35,-,800,358.9,417.2,400,2600,200,9.45,12.8,200,-7,11,33.95,11,1,7
-,-,-,-,-,-,400,305.6,383.8,400,2650,-,-,30.7,1000,-,-,-,-,-,-
8,-,-,-,520.7,-,800,271.8,318.2,400,2700,200,19.25,21.9,200,-7,23.25,33.55,71,9,49
2,2,2,39.78,278.8,13.25,400,239.45,277.4,600,2750,200,25.5,30.65,200,-10.6,29.5,32.09,34,2,20
-,-,-,-,-,-,800,192.45,233.45,600,2800,200,38.35,41.15,200,-8.15,43.95,33.05,163,31,38
2,2,2,33.84,192.6,-21.6,800,170.9,198.3,600,2850,200,51.85,55.4,200,-8.9,58.3,32.76,29,13,21
19,17,44,28.01,142.55,-7.15,200,148.9,165.8,200,2900,600,59.05,90,200,-12.55,77,32.85,484,73,120
9,9,30,30.06,121.05,-49.5,200,121.55,130.8,200,2950,400,77.9,93.3,200,-11.85,94.3,31.54,87,18,37
254,158,778,31.34,101.1,5.75,200,98.2,101.3,200,3000,400,109.5,119,200,-18.75,114.1,29.99,723,21,130
28,13,67,31.01,79.1,4.15,200,77.15,94.1,400,3050,600,135.1,147.05,200,-19.35,142.15,29.77,26,6,19
196,16,302,28.13,52.35,-6.75,200,59.75,66.9,200,3100,600,165.7,179.9,200,-4.2,189.55,34.38,22,-,70
61,-8,80,30.79,46.65,2.1,200,37.85,54.9,200,3150,1000,189.25,224.25,200,-19.1,210.05,29.78,3,1,37
263,66,409,29.57,31.9,-4.2,200,33.8,45.1,200,3200,1200,233.6,268.2,200,-14.15,239.85,26.38,3,1,110
25,5,18,31.23,27.1,-3.3,200,21.95,28,200,3250,400,269.7,323.05,1400,-,-,-,-,-,-
92,1,150,30.58,18.6,-2.4,200,20.1,22.15,200,3300,800,318.75,366.8,800,-,-,-,-,-,-
14,-,7,32.16,16,-6.2,200,14.15,20.35,200,3350,800,363.25,415.5,800,-,-,-,-,-,-
-,-,-,-,-,-,1000,5,33.35,200,3400,800,400.95,477.55,800,-,-,-,-,-,-
-,-,-,-,-,-,800,6.5,12,200,3450,800,445.4,510.6,1000,-,-,-,-,-,-
125,24,396,30.98,4.8,-2.15,200,5.45,10.35,200,3500,800,500.5,552.75,800,-,538,-,-,-,4
11,-,-,-,3,-,1200,2,6.9,600,3600,200,597.1,653,800,-,577.9,-,-,-,9
