CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1450,178.15,190.5,2900,640,10875,0.1,3.85,29000,-,-,-,-,-,-
-,-,-,-,-,-,1450,139.35,151.7,1450,680,5075,0.1,3.6,29000,-,-,-,-,-,-
2,-,-,-,150,-,3625,120.1,132.15,2900,700,7250,0.2,3.8,725,-,-,-,-,-,-
-,-,2,56.63,125.05,-131.15,7250,101.55,108.9,2175,720,4350,1.1,3.5,725,-1.7,2.95,35.07,6,-1,6
-,-,2,56.09,109.65,-46.35,725,85.35,91.5,725,740,725,4.95,5.15,725,0.85,5.35,35.38,102,50,52
-,-,-,-,-,-,5075,67.15,74.85,2175,760,725,6,8.65,725,1.25,7.9,33.95,212,30,81
7,-,-,-,79.4,-,725,51.2,59,2175,780,725,10.25,13,725,-28.55,12.8,34.26,21,13,13
109,-,63,25.96,44,-13.6,1450,40.35,44.85,725,800,725,18.2,19.9,725,4.3,18.8,33.82,685,-30,361
19,9,31,24.59,30.35,-33.7,725,29.5,36,725,820,725,23.4,29.95,1450,6.4,27.6,34.47,183,17,79
121,90,263,27.49,23.25,-11.95,725,22,25.95,725,840,1450,35.6,38.95,725,9.5,39.2,36,130,-7,46
341,72,574,27.64,15.8,-10.35,725,15.8,16.3,725,860,725,50.25,52.7,725,9.7,52.75,37.78,161,-13,60
79,54,157,28.66,11.05,-9.3,725,10,11.45,1450,880,2175,63.1,69.35,1450,12.9,60.9,31.74,12,6,11
312,62,669,29.38,7.5,-5.9,725,7.1,7.7,1450,900,725,80.3,85.15,2175,19.3,87.1,45.35,9,4,24
-,-,-,-,-,-,725,4.3,6.4,725,920,2175,97.05,105.45,3625,-2,83,-,1,1,2
59,57,92,30.85,3.4,-6.6,725,3.25,3.6,725,940,725,115.7,122.25,2175,-2,99,-,1,1,36
3,-,-,-,5.15,-,725,1.2,4.9,29000,960,2900,131.9,143.25,2900,-,110,-,-,-,13
41,34,62,35.29,1.5,-1.5,3625,1.2,1.85,725,1000,725,171,180,725,5,160,-,2,2,25
