CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,875,827.65,866.95,350,2800,875,0.85,2.35,175,-4.5,1,37.61,6,4,4
-,-,-,-,-,-,700,731,767.3,350,2900,175,0.25,2,350,-4.5,1.25,34.1,9,9,9
-,-,-,-,-,-,350,678.55,718.9,350,2950,175,0.25,10.45,7000,-,-,-,-,-,-
2,-,-,-,635,-,875,631.1,665.45,350,3000,350,0.6,1.8,525,-,1.1,-,-,-,7
-,-,-,-,-,-,700,582.4,619.55,350,3050,700,1,3.7,175,-,-,-,-,-,-
-,-,-,-,-,-,875,532.1,568,350,3100,175,1,1.8,175,-1.25,1,24.51,26,13,55
-,-,-,-,-,-,350,480.85,517.8,350,3150,525,1.55,4.2,175,-,6.45,-,-,-,1
2,-,-,-,450,-,350,428.65,470.05,350,3200,175,1.8,1.9,175,-1.25,1.75,22.03,84,29,120
-,-,-,-,-,-,350,380.8,418.4,350,3250,875,2.6,10.55,175,-,-,-,-,-,-
59,3,11,-,348.2,-9.4,175,338.95,347.4,175,3300,350,3.85,4,350,-0.85,3.95,20.34,347,140,358
14,-,-,-,303.5,-,175,289,315.7,175,3350,175,5.4,6,175,-1.4,5.55,19.21,218,13,176
118,-5,29,13.76,252.15,-5.3,175,246.35,252.65,175,3400,175,8.75,9.1,175,-1.55,8.9,18.67,820,168,752
73,3,28,15.73,209.1,-5.75,175,204.45,218.3,175,3450,350,12.5,14.25,175,-2.6,13.45,17.89,464,137,321
822,4,160,15.39,166,-7.35,175,163.75,165.85,175,3500,175,21.9,22.65,175,-1.8,22.6,17.94,1260,213,974
216,12,93,15.49,128,-7.4,175,126.65,129.9,175,3550,175,34.1,34.95,175,-3.1,34.15,17.55,697,127,403
1414,39,2231,15.55,95,-8.4,175,94.5,96,175,3600,175,51.15,51.95,175,-2.6,51.85,17.63,2948,-4,1079
977,130,1900,15.78,68.5,-8.65,175,68.3,69.6,175,3650,175,72.85,75.6,175,-4.2,73.7,17.48,798,62,577
1360,84,2731,16.07,48,-7.75,175,47.55,48.65,175,3700,175,103,104.65,175,-3.3,102.5,17.75,342,-21,197
433,153,814,16.62,33.65,-5.2,175,32.1,35.15,175,3750,175,136.35,139.35,175,-1,138,18.53,46,21,39
408,18,965,16.53,21.3,-5.2,175,21.05,21.7,175,3800,175,175.15,177.8,175,1,176.9,19.26,37,18,73
61,60,257,16.92,14,-15.3,175,13.55,14.2,175,3850,175,208.75,224.65,175,-261.2,226.8,22.64,1,1,1
765,53,546,17.17,8.8,-3.4,175,8.5,9.3,175,3900,6300,247.7,273.6,6300,-,269.3,-,-,-,5
267,10,193,17.78,5.95,-2.25,175,5.6,6,175,3950,700,281.2,321.2,1750,-,-,-,-,-,-
524,195,829,18.35,4,-2.25,350,3.85,4.05,175,4000,175,353.95,362.95,175,-9.15,356.65,23.48,13,1,45
23,23,28,19.8,2.05,-84.6,1050,2,2.8,700,4100,350,427.4,465.8,700,-,-,-,-,-,-
256,65,207,21.91,1.4,-1.45,175,1.35,1.9,875,4200,350,524.9,565.65,875,-,540,-,-,-,1
