CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1000,569.35,603.7,500,3000,250,1.05,3.55,250,0.5,3,31.48,9,-,45
-,-,-,-,-,-,1250,471.2,510.7,500,3100,2500,0.55,10.5,2500,-,-,-,-,-,-
-,-,-,-,-,-,1000,420.75,468.5,250,3150,2500,0.65,20.5,250,-,-,-,-,-,-
1,-,-,-,470,-,1000,371.4,414.45,750,3200,1000,1.5,16.7,250,-,-,-,-,-,-
-,-,-,-,-,-,1000,322.3,369,750,3250,500,2,21.4,250,-,-,-,-,-,-
-,-,-,-,-,-,500,271.9,306.5,500,3300,500,3.5,14,250,-,20.25,-,-,-,1
-,-,-,-,-,-,1250,225.75,269,1000,3350,1750,2.45,24.05,250,-,-,-,-,-,-
-,-,2,28.44,238,109.25,250,196.9,215.3,500,3400,250,16.55,19.8,250,1.95,19.5,20.18,188,17,165
-,-,-,-,-,-,1750,147.5,174.3,500,3450,250,27.05,33.7,250,3.25,27.05,19.18,14,-,22
6,3,6,17.63,130,-39.9,250,113.15,141.2,500,3500,250,37,48.7,5000,0.25,41.5,19.27,85,13,144
-,-,-,-,-,-,1250,78.05,110.2,500,3550,250,49.1,68,250,-0.15,56,18.26,22,-1,20
160,86,245,16.32,66.5,-1.25,250,60.05,67.5,250,3600,250,68.5,93,250,5,85.15,19.67,88,-40,63
397,6,177,17.14,48.8,2.9,250,41.9,54.9,500,3650,250,97.4,120.7,250,7.15,112,19.36,14,1,33
263,13,540,16.8,31.5,1.05,250,29.05,32.95,250,3700,250,132.95,153.95,250,-0.5,139.9,18.08,4,1,15
3,-1,3,16.99,20.6,-1.4,3000,2.7,28.5,500,3750,750,158.4,203.4,1750,-,-,-,-,-,-
72,1,117,17.56,14,0.9,250,11,13.95,250,3800,500,210.05,243.05,2500,-,-,-,-,-,-
-,-,-,-,-,-,2500,2.35,13.4,500,3850,750,256.3,291.45,1250,-,-,-,-,-,-
44,6,56,18.72,6.5,-1.5,250,5.5,7.15,250,3900,500,297.2,335.1,1250,-,-,-,-,-,-
-,-,-,-,-,-,500,2.8,12.85,500,3950,1000,346,387.65,1250,-,-,-,-,-,-
101,35,320,20.2,3.35,-2.2,750,3.1,3.5,250,4000,500,393.95,432.5,500,-,345,-,-,-,1
-,-,-,-,-,-,2500,0.85,8.15,250,4050,500,444,481.9,1000,-,-,-,-,-,-
1,-,-,-,18,-,2500,0.45,4.8,1250,4100,500,494.75,527.95,1000,-,-,-,-,-,-
5,-,-,-,6,-,5000,0.5,3.5,250,4200,500,588.8,626.1,1250,-,-,-,-,-,-
