CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,750,188.6,202.1,1500,1040,3750,0.35,2.65,750,-,-,-,-,-,-
-,-,-,-,-,-,750,151.75,163.9,750,1080,375,2.6,2.95,375,0.45,3.1,32.46,146,10,48
-,-,-,-,-,-,1500,131.85,146.85,1500,1100,750,1.3,6.35,3750,-,-,-,-,-,-
1,-,-,-,181,-,2625,115,124.05,375,1120,375,5,6,375,1.4,5.85,30.63,193,18,49
-,-,-,-,-,-,3750,95.95,105.65,1125,1140,750,7.1,8.75,750,2.55,8.3,30.15,207,45,51
7,-,-,-,110,-,750,80.15,89.9,1125,1160,375,11.05,12.95,1125,2.95,11.05,29.16,63,-7,36
1,1,1,33.03,89.45,-90.05,2625,62.4,78.9,1125,1180,375,14.4,21.05,8250,4.55,14.8,28.34,16,2,7
-,-,-,-,-,-,750,50.35,60.75,1125,1200,750,20.05,22.45,375,4.5,21.7,29.18,256,4,138
8,-,-,-,66,-,1500,35.25,57.05,1125,1220,750,20.4,38.35,3750,-,-,-,-,-,-
56,55,73,19.64,33.75,-25.25,375,33.05,39.6,375,1240,750,34.6,41.75,750,-6.3,37.6,29.02,72,26,26
68,54,140,19.89,24.45,-9.05,375,23.4,26.85,375,1260,5625,45.6,53.55,375,10.75,50,30.48,290,51,159
35,-8,49,23.6,22,-4.1,375,16.1,22.7,375,1280,1125,59.05,67.8,750,14.9,62.9,31.35,3,1,20
218,-26,312,21.53,13.2,-6.55,375,13.15,15,750,1300,1125,74.4,81.95,375,13.05,77.45,32.56,97,-33,172
50,16,46,22.61,9.95,-4.15,375,8.95,11,375,1320,750,90.55,98.45,375,20.1,85.5,27.81,1,1,3
77,37,113,23.04,7,-3.55,750,6.2,8.5,375,1340,750,108.1,115.55,375,20.4,110.4,35.92,2,1,32
47,5,39,24.88,5.95,-3.45,375,4.95,6.75,7500,1360,1500,121.65,134.6,1875,-,100,-,-,-,20
8,1,2,26.75,5.2,-13.05,375,2.4,7,375,1380,750,141.45,156.25,1875,-,86,-,-,-,1
66,21,188,25.54,2.9,-1.6,375,2.95,3.75,7500,1400,1500,160.8,171.95,1875,-,145,-,-,-,68
9,3,50,27.62,2.75,-1.25,11250,1.3,2.65,7500,1420,1500,177.35,191.9,1875,-,-,-,-,-,-
5,2,14,29.11,2.4,-11.6,375,1.4,3.3,375,1440,750,199.15,212.3,1500,-,-,-,-,-,-
-,-,-,-,-,-,375,0.4,5.35,375,1460,750,216.25,232.9,750,-,173,-,-,-,1
-,-,-,-,-,-,6000,0.3,4.45,15000,1480,750,237.85,252.45,375,-,-,-,-,-,-
26,4,9,30.58,1,-0.5,9375,0.3,0.95,375,1500,750,256,269.2,1875,-,222,-,-,-,3
-,-,-,-,-,-,6000,0.25,3.7,15000,1520,750,275.5,291.8,375,-,-,-,-,-,-
-,-,-,-,-,-,6375,0.25,3.15,15000,1560,750,317.2,330.45,1500,-,-,-,-,-,-
