CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,4000,100,3.65,4.55,100,-2.3,4.6,47.29,25,-,120
1,-,-,-,903.45,-,200,903.65,960.65,200,4400,100,2.4,9,700,-40.5,6,34.99,11,11,11
-,-,-,-,-,-,200,714.75,764.8,200,4600,3100,11.25,15.95,100,-4.65,15.3,34.06,993,15,289
-,-,-,-,-,-,200,621.3,673.5,200,4700,100,18.95,22,200,-5.25,21.05,32.66,191,62,87
89,-,-,-,534,-,100,540.1,571.4,100,4800,100,28.55,30.25,100,-7.5,29.25,31.38,2108,103,546
9,-,-,-,410.15,-5.6,100,436.25,516.8,300,4900,300,10.55,75.25,700,-,-,-,-,-,-
133,-14,68,27.49,385.3,48.15,100,384.95,405.9,100,5000,100,58.15,63.5,100,-11.65,62.2,30.28,4435,246,1570
110,31,189,26.83,308.6,39.3,100,314.1,334.7,200,5100,100,83.95,87.4,100,-14.2,89.05,30.05,2974,142,620
288,45,1966,27.93,249.6,39.6,100,249.7,258.65,100,5200,100,119.05,121.9,100,-23.5,120.35,29.31,5126,116,890
994,266,12515,28.04,194.4,34.8,200,194.1,197.45,100,5300,400,160.4,165.85,100,-33.8,160.2,28.7,6829,378,1001
2078,1018,18537,28.29,149,29.65,200,148.25,150.95,100,5400,100,211.65,220.75,100,-33.35,216.85,29.41,4553,488,1253
2662,790,13805,28.84,113.95,25.7,100,111.15,113.9,400,5500,100,269.8,282.45,100,-39.9,278.2,29.55,724,15,1212
3513,378,10803,29.03,84.3,19.25,100,83.05,84.45,100,5600,100,343.15,382.8,200,-39,360,32.01,242,36,813
929,178,6489,29.17,61,14.2,100,60.65,63.55,100,5700,100,418.5,449.9,100,-69.6,411.6,27.56,24,-,192
1105,343,6209,29.88,45.75,11.8,100,44.75,45.95,100,5800,100,504.2,515.9,100,-8.45,517,33.05,37,15,122
494,284,3229,30.13,32.65,7.6,100,32.95,33.95,100,5900,100,585.85,622.05,100,-,648.45,-,-,-,43
2275,970,9468,31.06,25,5.6,100,25.05,25.8,100,6000,100,682.85,694.9,100,-64.8,685.9,32.77,69,8,558
-,-,-,-,-,-,1400,4,43.6,100,6100,400,750.95,832.8,400,-,826,-,-,-,5
-,-,-,-,-,-,100,10,35.25,100,6200,400,847.6,924.1,400,-,844,-,-,-,112
236,236,662,33.36,7.45,-509.1,2000,7.4,9,100,6400,100,1055.2,1086.35,100,-135.5,990,-,1,-1,310
