CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,1,3,-,786.3,4.3,700,782.95,809.2,350,2500,700,1.05,1.75,350,-0.05,1.7,42.98,4,-1,33
-,-,-,-,-,-,700,726.35,769.8,700,2550,350,1,2.5,700,-,-,-,-,-,-
20,-,-,-,671.15,-,700,675.65,719.55,700,2600,1050,1.7,1.9,700,-1.6,1.85,38.12,72,24,154
4,-,-,-,635,-,700,627.4,671,700,2650,2100,1.65,3.6,350,-,-,-,-,-,-
4,-,-,-,610,-,700,577.1,615.45,1400,2700,700,2.4,2.55,350,-1.55,2.5,34.43,294,81,271
-,-,-,-,-,-,700,528.45,572.5,700,2750,350,2.75,3.5,350,-2.9,3.1,32.9,3,-,4
84,-,3,42.27,525,38,700,489.2,512.35,350,2800,350,3.5,3.95,350,-2.2,3.55,30.91,174,14,196
-,-,-,-,-,-,700,430.05,476.6,700,2850,350,4.25,5.45,350,-3.75,4.25,29.11,19,7,21
159,-1,2,-,396.85,18.85,350,397.15,413.65,350,2900,700,5.55,6.4,700,-3.7,6.1,28.31,370,37,290
8,-,-,-,302,-,1400,331.85,377.3,700,2950,2100,6.35,10,350,-208.75,8,26.97,1,1,1
160,-,5,-,305.4,12.9,350,307.15,319.55,350,3000,1050,10.3,11.5,350,-5.9,10.75,25.77,948,349,631
39,-,-,-,256,-,700,249.8,279.5,700,3050,350,14.9,15.95,350,-6.7,15.3,24.98,105,29,75
179,1,6,27.65,242.5,35.4,1050,214.9,235.45,350,3100,350,21.05,22.85,350,-7.9,22.05,24.4,625,37,352
23,1,5,26.91,203,37.95,700,175.95,196.05,350,3150,350,30.95,33.25,350,-8.8,31.8,24.02,359,55,201
354,1,305,20.76,148.1,13.3,700,134,149.95,350,3200,350,43.95,46.75,350,-10.85,45.55,23.89,1016,86,471
120,-8,443,19.72,111.65,6.25,350,112.2,117.4,350,3250,350,60.5,65.7,350,-9.45,66.45,24.67,910,61,253
861,319,5445,21.11,88.8,8.7,350,86.15,89.5,350,3300,350,83.65,88.25,350,-14.25,86,23.95,1131,81,370
170,30,869,20.77,64.4,4.75,700,64.45,67,350,3350,350,104.15,115.85,350,-14.3,116.25,24.95,172,25,69
538,73,1911,21.6,48.95,5.2,350,47.25,49.8,350,3400,350,141.7,148.95,350,-11.9,151,26.15,123,32,88
-,-,-,-,-,-,350,15.6,40.8,1050,3450,350,170.25,188.55,350,-451.05,174.1,23.05,29,25,25
691,138,1631,22.1,24.95,1.95,350,23.1,25.75,350,3500,350,217.45,226.8,350,-14.8,217,24.7,34,16,116
-,-,-,-,-,-,1050,4,22.85,700,3550,350,246.25,289.9,700,-,-,-,-,-,-
109,109,271,22.36,11.45,-26,350,12.5,13.3,350,3600,700,294.15,329.95,700,-,-,-,-,-,-
286,113,902,24.02,6.45,-0.55,700,6.45,7.75,700,3700,350,392.8,413,350,-27.35,387.15,22.23,3,2,6
