CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,100,2027.65,2150.7,100,10600,50,4.85,9.55,50,-3.95,4.05,27.73,4,2,3
-,-,-,-,-,-,100,1827.25,1956.5,100,10800,50,2.6,13.95,100,-,8.95,-,-,-,3
-,-,-,-,-,-,100,1632.15,1763.35,100,11000,50,8,11.95,50,-2.1,8.3,25.37,42,-1,25
-,-,-,-,-,-,100,1531.4,1675.9,50,11100,50,5.25,21.5,300,-82.2,23.55,29.16,1,1,1
-,-,-,-,-,-,100,1433.1,1570.5,100,11200,1800,2.15,21.65,300,-,-,-,-,-,-
-,-,-,-,-,-,100,1334.95,1470.8,100,11300,1800,2.2,30.2,50,-,-,-,-,-,-
-,-,-,-,-,-,100,1236.25,1372.95,100,11400,1900,2.25,25.3,50,-,-,-,-,-,-
-,-,-,-,-,-,100,1148.05,1269.8,50,11500,50,15.6,17.1,100,-4.5,17,21.48,148,87,100
10,-,-,-,1330,-,100,1052,1180.75,200,11600,50,20.15,26.05,50,-9.7,20.5,20.85,159,15,234
1,-,-,-,994.25,-,50,942.6,1120.25,50,11700,-,-,103.2,50,-,-,-,-,-,-
5,-,-,-,1150,-,250,842.75,1015.65,100,11800,50,19.35,60,50,-,-,-,-,-,-
1,-,-,-,952.35,-,200,762.75,954.85,100,11900,50,28,103.9,200,-,-,-,-,-,-
54,6,11,-,730.95,24.9,50,719.5,796.1,150,12000,50,53.05,55,100,-24.95,54.4,19.54,772,49,618
-,-,-,-,-,-,150,592.85,731,100,12100,50,54.5,106.25,300,-,-,-,-,-,-
29,-5,20,12.34,566.9,23.65,50,563.55,584.05,50,12200,50,86.8,91.2,50,-31.4,91.2,19.41,380,16,165
15,-1,6,13.41,492.1,-15.25,50,488.8,506.7,50,12300,50,112.05,117.4,50,-39.1,117.35,19.49,291,40,96
21,-6,82,14.54,428,28.15,50,419.25,433.8,50,12400,50,141.3,146.65,50,-46.75,144.35,19.26,230,14,53
175,13,653,14.64,360,18.1,50,362.9,369.5,50,12500,50,169.7,180.7,50,-54.65,180,19.33,975,73,592
233,49,3158,15.18,305.1,13.9,50,302.9,328.1,50,12600,50,217.8,221.85,50,-60.55,220.25,19.34,754,49,151
443,194,3063,15.49,254.45,7.85,50,254.6,258,50,12700,50,256.5,271.3,50,-64.65,269.85,19.62,678,97,171
306,125,1376,15.93,212.5,8.65,50,209.35,219.45,50,12800,50,318.6,329.75,50,-70.9,324.4,19.86,249,6,163
243,125,777,16.11,173.3,-3.5,50,169.85,185.45,50,12900,50,349,390.35,50,-25.45,386,20.23,74,3,15
1004,382,3107,16.12,137.6,-2.55,50,137.1,141.85,50,13000,50,409.7,456.5,50,-68.15,457.35,20.95,93,5,73
75,13,231,16.32,110.2,-2.85,50,108.55,113.4,50,13100,250,496.2,566.25,250,-,-,-,-,-,-
85,24,207,16.29,84.85,-11.1,50,85.55,90.3,50,13200,100,555.7,642.15,250,-,-,-,-,-,-
158,-15,185,16.71,69,-5.3,50,69.4,71.85,50,13300,50,602.05,730,250,-,-,-,-,-,-
77,28,160,17.09,55.8,-12.4,50,54.25,55.8,450,13400,100,689.15,808.7,250,-,-,-,-,-,-
618,177,1074,17.08,42,-8.8,50,42.55,45.15,50,13500,100,798.05,898.25,100,-,-,-,-,-,-
-,-,-,-,-,-,250,30.05,67.3,50,13600,100,854.9,1021.05,50,-,-,-,-,-,-
-,-,-,-,-,-,250,21.8,57,50,13700,100,954.15,1109.85,50,-,-,-,-,-,-
122,29,299,18.28,22.45,-4.15,50,20.5,25.95,50,13800,50,1073,1182.25,500,-,-,-,-,-,-
-,-,-,-,-,-,50,3.1,40.3,50,13900,50,1144.35,1286.5,200,-,-,-,-,-,-
785,480,1342,18.02,11.2,-7.85,150,10.95,14.75,150,14000,100,1248.1,1355.9,50,30,1290,24.92,2,2,2
-,-,-,-,-,-,950,3.15,19.95,50,14200,100,1424.45,1571.7,500,-,-,-,-,-,-
55,23,79,20.65,7.05,-1.9,150,6.1,9,50,14400,100,1629.6,1763.3,100,-,-,-,-,-,-
