CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,8850,20,21.45,17700,105,4425,0.1,0.25,4425,-,-,-,-,-,-
10,10,14,-,15.9,-12.95,4425,15.7,16.1,4425,110,8850,0.4,0.5,8850,-1,0.45,33.56,85,72,72
-,-,-,-,-,-,13275,13.1,14.75,13275,112.5,17700,0.45,1.05,4425,-,-,-,-,-,-
6,6,14,32.71,12.05,-10.9,4425,11.35,11.55,4425,115,26550,0.8,0.9,22125,0.1,0.85,30.32,201,52,157
-,-,2,26.32,9.45,-8.85,13275,8.9,9.45,4425,117.5,8850,1.2,1.3,8850,-2.4,1.25,29.51,42,15,15
23,15,39,25.47,7.45,-2.6,4425,7.4,7.55,4425,120,4425,1.8,1.85,13275,0.3,1.85,29.14,124,20,143
18,18,34,25.81,5.8,-9.2,61950,5.25,5.9,4425,122.5,4425,2.6,2.65,57525,0.55,2.6,28.44,184,50,97
101,-25,426,26.1,4.4,-1.5,17700,4.35,4.45,8850,125,26550,3.65,3.75,44250,0.7,3.7,28.71,976,379,687
156,88,303,26.33,3.25,-1.3,13275,3.2,3.3,4425,127.5,13275,5,5.15,8850,0.9,5.05,29.08,174,49,171
1388,257,1457,26.99,2.4,-1,8850,2.35,2.4,4425,130,4425,6.6,6.7,4425,1.05,6.6,29.31,618,65,491
178,-6,320,27.23,1.7,-0.75,13275,1.65,1.75,22125,132.5,4425,8.4,8.9,4425,0.85,7.9,26,25,-5,68
431,89,291,27.67,1.2,-0.55,13275,1.2,1.25,35400,135,4425,10.35,10.55,4425,1.55,10.45,31.39,161,-42,270
98,17,53,28.26,0.85,-0.35,13275,0.85,0.9,13275,137.5,4425,12.5,13.15,4425,2.65,12.25,29.24,3,-,63
610,111,442,29.53,0.65,-0.25,35400,0.6,0.65,26550,140,4425,14.7,14.9,4425,1.95,14.85,34.42,137,-85,337
46,-,22,31.5,0.55,-0.1,8850,0.45,0.5,4425,142.5,4425,17,17.25,4425,1.05,17,34.1,5,2,2
126,-27,122,32.12,0.4,-0.05,4425,0.35,0.4,17700,145,4425,19.4,19.9,4425,1.9,19.35,35.56,6,1,170
4,-,-,-,0.5,-,190275,0.2,0.45,4425,147.5,17700,21.1,22.7,4425,-,13.65,-,-,-,1
635,13,79,32.96,0.2,-0.1,141600,0.2,0.25,61950,150,8850,23.6,25.1,17700,-,19.5,-,-,-,4
-,-,-,-,-,-,4425,0.1,0.3,8850,152.5,8850,26.1,27.7,17700,-,-,-,-,-,-
8,-2,6,36.07,0.15,-0.05,460200,0.1,0.2,35400,155,4425,28.7,30.1,17700,-,-,-,-,-,-
22,16,27,40.56,0.15,0.1,818625,0.05,0.15,4425,160,17700,33.55,34.95,17700,-,32,-,-,-,16
