CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,800,229.5,244.2,800,1080,6000,0.3,1,400,-,1.5,-,-,-,1
-,-,-,-,-,-,800,190.3,203.65,800,1120,6000,0.4,1.95,400,-,-,-,-,-,-
-,-,-,-,-,-,800,170.55,184.4,800,1140,400,0.65,1.85,400,-3.9,1.55,28.27,7,5,5
-,-,-,-,-,-,800,151.4,164.15,800,1160,400,1.55,1.75,400,-0.9,1.7,25.96,84,1,110
18,6,15,-,137.95,23.9,400,136.85,138.45,400,1180,400,2.1,2.35,400,-1.6,2.15,24.31,54,19,62
43,11,35,-,118,22.8,400,117.9,119.15,400,1200,400,3.15,3.3,800,-2.4,3.2,23.49,467,43,488
-,-,-,-,-,-,800,95.6,103.85,800,1220,800,4.5,4.7,800,-3.6,4.6,22.51,192,30,118
-,-,-,-,-,-,1600,77.75,85.65,400,1240,400,6.75,6.85,400,-5.25,6.75,21.7,277,-65,206
-,-,-,-,-,-,800,62,71.55,1200,1260,400,10.15,10.4,400,-7.6,9.95,21.03,362,26,300
168,46,311,16.13,51.2,16.3,400,50.65,51.65,400,1280,400,15,15.3,400,-10.3,15.05,20.87,500,41,457
854,116,2325,16.77,38.45,13.25,400,38.05,38.6,400,1300,400,22.05,22.45,400,-13.1,22.15,20.91,701,74,862
901,277,2121,16.79,27.25,9.65,400,27.55,28.05,400,1320,400,31.1,31.85,400,-16.1,31.5,21.17,357,110,589
672,111,1228,17.44,19.4,7.65,400,19.35,19.65,400,1340,400,42.75,43.5,400,-18.3,43.1,21.65,87,15,335
580,174,980,18.04,13.55,5.7,400,13.25,13.5,400,1360,400,56.3,57.15,400,-20.05,56.95,22.5,29,-1,186
857,663,2284,18.47,9.15,3.9,400,9.05,9.2,800,1380,800,68.6,77.4,800,0.1,94.05,-,-,-,76
1225,-19,2082,18.86,6.05,2.35,1200,6,6.1,800,1400,400,88.7,89.7,400,-23.6,89.45,25,130,-30,722
100,28,135,19.54,4.15,1.6,400,4.05,4.15,400,1420,800,104,112.15,400,0.7,133,-,-,-,53
113,31,206,20.28,2.9,0.9,800,2.8,2.95,400,1440,800,120.55,132.05,1600,-,152.45,-,-,-,103
106,17,67,20.92,2,0.45,400,2,2.1,800,1460,800,139.1,151,1600,-,167.9,-,-,-,72
22,4,22,22.01,1.55,0.6,800,1.3,1.6,800,1480,800,155.45,169.95,2000,0.6,189,-,-,-,102
113,1,9,22.89,0.7,-0.2,400,0.7,0.95,1200,1520,400,201.75,205.1,400,-23.55,203.45,37.35,4,3,233
-,-,-,-,-,-,-,-,-,-,1600,1600,272.65,284.4,400,-17,286,51.29,7,-1,524
