CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2200,396.8,409.75,2200,880,7150,0.15,2.05,5500,-,-,-,-,-,-
-,-,-,-,-,-,2200,357.05,369.25,2200,920,7150,0.15,2.15,5500,-,-,-,-,-,-
-,-,-,-,-,-,2200,335.7,347.55,2200,940,13200,0.2,0.6,550,-0.2,0.8,48.6,1,-,4
-,-,-,-,-,-,2200,317.4,329.75,2200,960,7150,0.2,2.2,5500,-,-,-,-,-,-
-,-,-,-,-,-,2200,297.6,311.9,1100,980,7150,0.2,2.3,5500,-,-,-,-,-,-
-,-,-,-,-,-,2200,278.1,289.2,2200,1000,550,1.15,1.6,550,-,-,-,-,-,-
-,-,-,-,-,-,2200,258.05,273,1100,1020,1100,0.4,4.25,5500,-,-,-,-,-,-
-,-,-,-,-,-,1100,238.3,251.8,1100,1040,550,2,3.4,550,-68.05,2,40.24,1,1,1
-,-,-,-,-,-,2200,220.7,233.8,1100,1060,550,1.25,4.8,550,-74.1,3.2,40.82,1,1,1
-,-,-,-,-,-,2200,199.9,213.3,550,1080,550,0.85,5.85,550,-,-,-,-,-,-
5,-,-,-,201,-,2200,181.6,194.1,2200,1100,550,5.2,5.25,550,1.45,5.25,38.66,1954,666,683
1,-,-,-,179.6,-,2200,162.75,175.15,2200,1120,550,5.95,6.9,550,2.45,6.95,37.98,4,3,4
2,-,-,-,174.25,-,2200,146.65,156.85,2200,1140,550,8.3,8.6,550,4.7,8.65,36.7,13,7,8
2,-,-,-,146,-,2750,128.9,139.7,2200,1160,550,10.35,11.05,550,3.25,11,35.71,171,13,124
1,-,-,-,91.5,-,2750,112.1,121.5,2200,1180,550,13.2,14,550,3.5,14.5,35.3,62,16,19
53,-1,23,30.21,100,-14,550,96.6,100.95,550,1200,550,17.2,18.1,1100,3.25,17.5,33.72,288,37,102
6,-,3,27.03,81.5,-16.85,550,82.4,89.2,1100,1220,550,22.15,23.1,550,4.4,23,33.6,96,20,73
32,7,48,30.19,71.85,-13.15,550,70.55,73.7,550,1240,550,28.55,29.75,550,4.6,29,33.03,130,36,54
48,4,44,30,59.45,-12.1,550,58.2,61.05,550,1260,2200,36.4,36.9,550,5.25,36.4,32.65,298,18,94
55,-,169,30.87,50,-10.1,550,48.2,49.55,550,1280,550,45.35,47.15,1100,6.6,45.65,32.69,307,21,56
679,180,2224,29.94,39.25,-10.8,550,39.25,39.95,1100,1300,550,55.55,57.1,550,8.3,56.5,32.93,477,34,135
107,-6,410,30.06,31.4,-9.5,1100,31.4,32,550,1320,550,67.05,71.35,550,6.95,65.9,31.37,13,2,7
126,1,186,30.41,25.15,-7.5,550,24.25,25.1,550,1340,2200,77.75,85.4,3850,-,74,-,-,-,1
75,11,197,29.95,18.95,-6.65,550,18.65,19.25,550,1360,550,93.4,98.3,550,-189.55,94,32.13,27,18,18
74,49,377,30.48,15.05,-5.1,550,14.1,14.8,550,1380,2200,106.85,115,550,-,-,-,-,-,-
510,110,833,30.45,11.35,-4.3,1100,10.75,11.25,550,1400,1100,122.55,131.6,3850,-,-,-,-,-,-
251,95,456,30.9,6.55,-2.75,550,6.35,6.5,1100,1440,1100,156.9,166.7,1100,-,-,-,-,-,-
