CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
2,-,-,-,164.5,-,5420,145.5,153.75,2710,560,5420,0.4,0.45,20325,-0.2,0.45,39.84,35,26,44
3,-,-,-,132,-,2710,125.4,134.05,2710,580,6775,0.55,0.9,1355,-0.25,0.6,36.51,1,-1,8
22,1,1,-,107,-5,1355,108.05,110.65,1355,600,2710,0.8,1.2,2710,-0.55,0.9,33.79,37,6,56
-,-,-,-,-,-,5420,96.75,105.95,5420,610,13550,0.95,3.4,1355,-,-,-,-,-,-
14,-,10,-,89.2,-4.35,1355,88.25,90.75,1355,620,1355,1.65,1.75,1355,-0.35,1.75,32.77,214,129,199
-,-,-,-,-,-,6775,77.75,84.8,2710,630,1355,1.85,2.2,1355,-7.2,2.25,31.76,11,7,7
13,-,-,-,76.55,-,2710,68.5,75.65,5420,640,5420,2.75,2.9,1355,-0.65,2.9,30.79,134,44,114
121,1,20,-,61.7,-3.4,1355,60.65,63.05,1355,650,2710,3.7,3.8,2710,-0.75,3.75,29.87,243,29,162
27,-1,24,-,53.8,-1.7,1355,53.15,54.35,1355,660,2710,4.95,5.05,1355,-0.75,4.9,29.08,178,4,85
14,9,26,-,45.55,-1.95,1355,45.1,46.2,2710,670,1355,6.65,6.9,1355,-0.9,6.8,29.06,238,18,155
33,16,118,-,38,-2.85,1355,37.05,38.2,1355,680,1355,8.85,9.15,1355,-1.05,9,28.74,454,16,175
30,14,104,13.87,31.4,-2.35,1355,30.4,31.25,1355,690,1355,11.8,12.2,1355,-0.85,12,28.81,506,20,140
828,77,689,15.7,24.8,-3.05,1355,24.6,25.1,1355,700,1355,15.5,16,2710,-0.95,15.85,29.18,911,46,454
166,61,1147,17.4,19.65,-2.75,5420,19.45,19.55,1355,710,1355,20.2,20.6,1355,-1.05,20.3,29.46,639,16,154
570,100,1596,18.14,14.95,-2.65,1355,14.8,15.15,1355,720,1355,25.55,26.15,1355,-0.8,25.85,30.29,549,21,328
860,45,1317,19.02,11.4,-2.4,1355,11.25,11.5,2710,730,1355,31.9,32.65,1355,-0.3,32.2,31.33,345,-5,208
483,50,1034,19.79,8.6,-2.15,1355,8.5,8.75,1355,740,1355,38.75,40.6,2710,0.05,39.45,32.81,39,1,103
807,100,1651,20.58,6.5,-1.75,1355,6.4,6.55,1355,750,1355,46.15,47.75,1355,0.2,46.7,33.73,25,4,88
209,56,790,21.24,4.85,-1.4,1355,4.8,4.95,2710,760,1355,54.8,55.95,1355,2.2,56,36.82,14,-1,20
286,-21,389,21.96,3.65,-1.05,1355,3.6,3.7,2710,770,1355,63.6,64.65,1355,1.65,63.9,37.72,19,-1,37
255,-56,257,22.77,2.8,-0.85,1355,2.65,2.8,1355,780,2710,68.6,76.65,5420,-,72.1,-,-,-,33
61,10,85,23.94,2.3,-0.6,1355,2.1,2.3,2710,790,2710,77.85,85.8,2710,-,-,-,-,-,-
629,337,769,24.57,1.75,-0.55,5420,1.75,1.85,18970,800,1355,90.95,93.25,1355,2.1,92.3,45.4,12,5,14
213,13,181,25.17,0.9,-0.5,1355,0.95,1.2,2710,820,2710,106.7,114.35,5420,-,-,-,-,-,-
