CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2050,66.5,72,4100,420,1025,0.95,1,2050,0.3,1,32.57,147,65,108
-,-,-,-,-,-,2050,47.95,51.85,3075,440,2050,2.35,2.45,1025,0.5,2.4,30.7,383,216,317
19,14,35,24.68,41.9,-12.6,1025,41.4,42.25,1025,450,2050,3.55,3.7,2050,0.8,3.55,29.6,273,126,154
13,12,39,25.32,33.85,-27.05,2050,32.1,34.25,1025,460,1025,5.4,5.55,1025,1.65,5.5,29.28,370,38,165
19,18,54,25.43,26.5,-21.5,1025,26.2,26.85,1025,470,1025,8.05,8.35,1025,2.85,8.45,29.51,484,43,182
55,18,239,25.94,20.35,-7.4,1025,20.1,20.45,1025,480,1025,11.85,12.1,1025,3.55,11.95,29.11,1188,85,266
101,79,662,26.56,15.35,-6.2,8200,15.2,15.4,2050,490,1025,16.7,17,2050,4.9,16.8,29.48,852,62,136
264,153,1134,26.77,11.15,-5.9,3075,10.95,11.2,2050,500,1025,22.5,22.85,2050,6.35,22.65,29.99,740,47,310
266,61,720,27,7.9,-4.45,1025,7.9,8.65,1025,510,1025,29.1,29.7,1025,7.85,29.8,31.37,205,5,136
557,114,931,27.42,5.55,-3.3,1025,5.55,5.75,2050,520,1025,36.6,37.55,1025,8.9,36.85,31.24,93,-19,136
365,134,540,28.13,3.95,-2.5,2050,3.85,4,1025,530,1025,44.85,45.6,1025,9.9,45.25,32.72,29,-1,143
389,48,347,28.36,2.65,-1.8,2050,2.65,2.8,3075,540,1025,53.55,54.45,1025,11,54.2,34.67,28,4,45
296,-21,490,29.21,1.9,-1.25,4100,1.85,1.95,1025,550,1025,62.6,63.6,1025,13.3,63.3,36.39,34,13,19
271,8,209,29.71,1.3,-0.9,2050,1.25,1.35,3075,560,1025,72,74.35,1025,-36.8,67.45,-,18,3,3
195,43,227,30.62,0.95,-0.6,1025,0.85,1,2050,570,1025,81.05,82.35,1025,21.8,82.45,41.37,23,4,4
174,85,123,31.1,0.65,-0.4,3075,0.6,0.7,30750,580,2050,88,94.1,4100,-,-,-,-,-,-
486,-11,64,32.72,0.35,-0.25,2050,0.25,0.3,3075,600,2050,108.2,113.5,4100,-,97,-,-,-,4
