CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
7,2,2,-,79.1,-3.9,1150,79.45,80.2,1150,344,1150,0.35,0.45,2300,-0.05,0.35,35.74,23,6,41
3,-,-,-,79,-,4600,67.55,72.05,2300,354,2300,0.5,0.7,3450,-0.05,0.7,35.64,1,1,64
-,-,-,-,-,-,4600,62.05,66.7,2300,360,1150,0.4,1,1150,-,-,-,-,-,-
-,-,-,-,-,-,5750,58.05,62.2,4600,364,20700,0.75,0.8,29900,-0.25,0.8,31.94,418,193,459
-,-,-,-,-,-,4600,52.55,56.65,4600,370,1150,0.85,1.4,2300,-1.05,1.3,32.53,7,5,5
11,-,-,-,55.5,0.3,4600,48.8,52.85,4600,374,2300,1.2,1.3,1150,-0.2,1.25,30.26,147,46,285
-,-,-,-,-,-,4600,43.2,47.1,4600,380,3450,1.55,1.7,5750,-0.1,1.65,29.34,183,84,110
133,-2,10,23.64,41.2,-4.8,1150,41.35,42.1,1150,384,1150,1.9,1.95,3450,-0.05,1.9,28.38,305,74,692
-,-,-,-,-,-,4600,34.05,38.1,4600,390,1150,2.5,2.6,3450,0.15,2.55,27.63,341,126,215
34,3,13,24.34,32.6,-5.85,1150,32.55,33.1,1150,394,4600,3,3.1,2300,0.3,3.15,27.34,213,60,638
119,107,128,23.58,27.5,-3.9,2300,27.7,28.8,1150,400,2300,4.05,4.15,1150,0.35,4.1,26.43,770,303,651
113,4,36,24.15,24.65,-3.85,1150,24.5,24.95,1150,404,2300,4.8,4.95,2300,0.5,4.9,25.9,291,39,1015
24,2,18,23.87,20.3,-3.25,1150,20.2,20.65,1150,410,2300,6.45,6.55,1150,0.7,6.55,25.54,509,125,323
156,21,73,23.83,17.7,-2.75,1150,17.6,17.85,1150,414,1150,7.65,7.95,3450,0.9,7.85,25.27,410,67,492
179,96,537,23.72,14.15,-2.4,2300,14.15,14.25,1150,420,1150,10.15,10.35,4600,1.15,10.3,25.18,1339,208,467
882,198,1188,23.65,12.05,-2.15,1150,12.05,12.2,1150,424,2300,11.55,12.2,3450,1.5,12.35,25.46,1155,71,1086
812,246,1848,23.14,9.1,-2.1,2300,9.2,9.35,1150,430,1150,14.7,15.4,2300,1.6,15.35,24.98,938,151,588
2126,391,1588,23.22,7.6,-1.85,1150,7.55,7.75,4600,434,1150,17.45,17.85,1150,2,17.95,25.38,324,-17,1111
728,485,1614,23.19,5.65,-1.55,3450,5.55,5.7,2300,440,1150,21.35,21.75,1150,2.15,21.9,25.4,74,15,64
1429,7,927,23.22,4.6,-1.4,2300,4.55,4.65,3450,444,10350,23.9,24.6,1150,2.75,25.05,26.13,69,9,803
725,344,1188,23.2,3.3,-1.05,6900,3.25,3.35,3450,450,1150,28.8,29.3,1150,3.05,29.75,26.62,60,19,176
601,-58,645,23.16,2.6,-1,4600,2.6,2.7,4600,454,2300,32.05,32.65,1150,2.85,32.9,26.58,36,-2,191
543,402,884,23.35,1.85,-0.8,19550,1.8,1.9,9200,460,1150,37,37.9,1150,-0.7,38.2,27.65,5,4,4
1434,16,413,23.2,1.4,-0.75,4600,1.4,1.5,1150,464,9200,40.7,41.45,1150,3,41.5,27.3,16,-2,348
150,93,153,23.83,1.05,-0.65,2300,1.05,1.1,1150,470,4600,44.85,48.9,4600,-,-,-,-,-,-
437,25,88,24.14,0.85,-0.45,1150,0.8,0.9,1150,474,1150,50.2,50.95,1150,4.95,49.7,23.41,2,2,50
169,53,94,24.83,0.65,-0.35,3450,0.65,0.7,1150,480,2300,54.95,56.55,1150,3.85,56.7,31.27,107,-20,644
938,-1,159,25.32,0.55,-0.35,1150,0.55,0.6,2300,484,1150,59.75,60.45,1150,3.15,60.3,30.99,17,5,909
137,14,61,27.7,0.25,-0.2,90850,0.25,0.3,21850,504,1150,78.8,80.25,1150,3.8,80.2,38.4,2,2,71
