CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,750,326.8,340.55,1500,1020,6375,0.25,0.95,375,-,-,-,-,-,-
-,-,-,-,-,-,750,307,321.6,1500,1040,6375,0.25,2,375,-13.2,1,45.48,13,13,13
-,-,-,-,-,-,750,287.2,300.7,1500,1060,6000,0.35,1.9,750,-,-,-,-,-,-
-,-,-,-,-,-,750,267.35,281.65,750,1080,750,0.35,1.85,375,-,10.05,-,-,-,1
-,-,-,-,-,-,750,247.9,261.25,750,1100,375,0.6,1.45,375,-0.6,0.9,36.97,2,1,11
-,-,-,-,-,-,750,228.1,242.55,750,1120,375,0.8,1.95,375,-1.5,0.7,33.18,1,-1,32
1,-,-,-,204.2,-,750,208.1,221.35,750,1140,4875,0.65,2,375,0.3,3.2,39.95,2,2,2
-,-,-,-,-,-,750,188.8,203.55,750,1160,375,1.2,3.5,375,-,3,-,-,-,5
-,-,-,-,-,-,1500,169.95,184,1500,1180,375,2.7,3.4,375,-0.95,2.75,32.99,12,2,14
38,-,-,-,146.15,-,2625,152.65,162.5,2625,1200,375,3.65,3.85,750,-0.9,3.85,32.46,116,32,194
-,-,-,-,-,-,375,132.9,146.55,1500,1220,375,5.1,5.3,1500,-1.4,5.3,31.91,65,23,87
12,-,-,-,110.8,-,3375,114.85,124.45,375,1240,375,7.05,7.35,375,-1.6,7.35,31.54,140,43,75
46,8,47,-,103.75,12.4,375,103,106.5,375,1260,375,9.9,10.25,375,-2.65,10.05,31.21,243,52,182
51,21,36,-,86.4,10.6,375,86.55,89.5,375,1280,375,13.75,14.2,375,-3.5,14.05,31.37,305,14,168
145,2,119,-,73.2,12.25,375,73,73.7,750,1300,375,18.9,19.5,375,-4.2,19.4,31.78,942,62,347
59,5,197,-,60.3,10.85,375,59.95,60.8,375,1320,375,25.5,26.1,375,-5.75,25.9,32.16,436,51,117
152,-8,935,13.17,48.1,8.55,375,48.35,49.25,375,1340,375,33.8,34.45,375,-7.2,34.4,33.05,726,58,159
461,104,3980,16.6,39,7.85,375,38.6,39.2,750,1360,375,43.55,44.45,375,-9.65,44.05,33.83,747,62,245
550,273,2435,18.19,30.45,5.75,375,30.35,30.85,375,1380,375,55.4,59.9,2250,-10.65,55.5,34.97,310,50,163
869,88,3214,19.37,23.45,4,375,23.35,24,375,1400,375,68,69.1,375,-10.4,68.75,36.51,230,59,232
175,53,340,20.49,18.1,3.65,375,18,18.45,375,1420,375,81.75,83.3,375,-8.2,84.25,38.85,52,2,17
251,4,450,21.36,13.75,2.8,375,13.75,14.1,375,1440,375,97.15,100,375,-6.6,99.9,40.78,15,4,28
256,256,488,22.23,10.5,-32,375,10.35,10.7,375,1460,1125,112.4,121.3,2625,-,-,-,-,-,-
99,18,231,23.04,8,1.6,1125,7.9,8.15,375,1480,2250,125.15,137.9,1875,-,142.8,-,-,-,43
581,53,1015,23.75,6.05,1,750,6.05,6.3,1500,1500,375,148.55,151.15,750,-16.4,151.1,47.07,25,6,52
114,37,139,24.39,4.55,0.5,750,4.6,4.7,750,1520,1500,161.6,173.8,1500,-,180.25,-,-,-,6
70,65,108,25.05,3.45,0.35,750,3.35,3.6,750,1540,1500,180.9,193.75,1500,-,-,-,-,-,-
89,28,113,25.54,2.55,0.5,375,2.55,2.75,750,1560,1500,198.75,212.8,1500,-,222.5,-,-,-,51
