CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,-,-,-,52.55,-,15000,46.8,49.1,6000,200,210000,0.1,0.15,18000,-,0.1,34.59,36,4,36
-,-,-,-,-,-,12000,42,44.1,6000,205,279000,0.1,0.2,57000,-,0.15,33.16,10,-1,164
13,-,-,-,39.75,-,6000,36.9,39.2,6000,210,186000,0.15,0.2,3000,-0.05,0.2,31.13,9,7,14
-,-,-,-,-,-,6000,32,34.35,6000,215,3000,0.2,0.25,9000,-1.3,0.2,27.64,229,221,221
-,-,-,-,-,-,15000,29.45,32.05,6000,217.5,63000,0.15,0.5,30000,-,-,-,-,-,-
36,-,-,-,29.4,0.2,3000,27.15,29.35,3000,220,51000,0.3,0.4,42000,-0.1,0.35,26.8,219,19,289
-,-,-,-,-,-,15000,24.6,27,12000,222.5,60000,0.3,0.75,6000,-,-,-,-,-,-
96,-,-,-,24.8,0.2,12000,22.4,24.85,6000,225,3000,0.6,0.65,3000,-,0.65,26.49,108,33,282
-,-,-,-,-,-,27000,20.05,22.2,12000,227.5,3000,0.75,0.85,6000,-0.05,0.8,25.78,26,12,29
239,-75,120,-,18.9,-1.1,3000,18.75,18.95,6000,230,21000,1,1.1,105000,-0.05,1.05,25.54,473,146,609
4,4,10,-,16.5,-7.3,3000,16.6,16.8,3000,232.5,6000,1.3,1.4,9000,-0.05,1.35,25.22,50,26,71
54,7,21,-,14.75,-0.9,3000,14.45,14.75,3000,235,15000,1.7,1.8,39000,-0.1,1.75,25.07,267,36,586
13,8,28,-,12.35,-1.35,3000,12.55,12.8,3000,237.5,12000,2.25,2.35,15000,0.05,2.3,25.2,120,4,111
270,-7,102,-,10.9,-0.85,3000,10.75,10.9,6000,240,18000,2.9,3,6000,0.05,3,25.49,644,40,584
55,5,65,9.63,9.25,-0.85,3000,9.05,9.25,3000,242.5,3000,3.75,3.8,3000,0.05,3.8,25.67,337,16,114
318,23,461,11.49,7.5,-1.1,3000,7.6,7.75,3000,245,9000,4.7,4.8,6000,0.15,4.8,26.11,778,5,407
131,41,489,13.92,6.35,-0.8,3000,6.3,6.4,6000,247.5,6000,5.85,5.95,3000,0.15,5.95,26.6,629,49,163
1203,338,2738,14.88,5.15,-0.85,6000,5.15,5.2,3000,250,3000,7.2,7.3,6000,0.1,7.2,26.98,1529,1,735
264,60,1153,15.87,4.2,-0.75,6000,4.15,4.25,12000,252.5,3000,8.65,8.8,3000,0.25,8.75,27.94,428,-7,166
793,114,1987,16.32,3.3,-0.8,12000,3.3,3.4,15000,255,3000,10.3,10.45,3000,0.25,10.35,28.67,291,-22,163
132,2,399,16.87,2.6,-0.65,9000,2.6,2.7,12000,257.5,3000,12.05,12.3,3000,0.4,12.25,30.08,35,3,31
1166,164,1979,17.43,2.05,-0.6,15000,2.05,2.1,33000,260,3000,14,14.2,3000,0.6,14.3,31.72,42,-,388
132,7,152,17.9,1.6,-0.5,6000,1.6,1.65,6000,262.5,3000,15.95,16.25,3000,0.65,16.3,32.93,9,1,21
307,-38,390,18.39,1.25,-0.45,9000,1.25,1.3,18000,265,6000,18.15,18.35,3000,0.75,18.4,34.28,10,5,53
114,-1,186,19.01,1,-0.4,6000,0.95,1,3000,267.5,3000,20.4,20.5,3000,0.8,20.65,36.02,11,3,54
618,64,1073,19.59,0.8,-0.25,60000,0.75,0.8,36000,270,3000,22.45,22.75,3000,0.7,22.7,36.79,23,8,171
78,-13,87,19.39,0.55,-0.3,3000,0.55,0.65,6000,272.5,12000,23.9,25.85,3000,-,24.05,-,-,-,15
199,48,316,20.56,0.5,-0.2,39000,0.45,0.5,78000,275,3000,27.2,27.5,3000,1.3,27.65,41.44,14,3,60
-,-,-,-,-,-,120000,0.3,0.5,3000,277.5,12000,28.6,30.7,12000,-,-,-,-,-,-
824,346,1264,21.28,0.3,-0.2,132000,0.3,0.35,63000,280,3000,32,32.25,3000,0.8,32.15,43.78,18,2,202
3,-,-,-,0.2,-,102000,0.2,0.4,60000,285,6000,35.4,37.95,9000,-,36.25,-,-,-,37
78,-6,109,24.89,0.2,-0.1,27000,0.2,0.25,177000,290,6000,40.8,42.95,27000,-,40.95,-,-,-,222
109,108,128,26.13,0.15,-0.05,57000,0.15,0.2,159000,295,3000,46.7,47.15,3000,1.15,47,55.39,3,3,122
424,32,272,26.84,0.1,-0.05,1308000,0.1,0.15,684000,300,-,-,-,-,-,-,-,-,-,-
3,-,2,32.81,0.15,-0.05,3000,0.1,0.15,198000,310,-,-,-,-,-,-,-,-,-,-
