CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
21,-,-,-,5.3,-,373200,5.1,5.3,93300,14,-,-,0.05,1679400,-,-,-,-,-,-
-,-,-,-,-,-,684200,3.1,3.3,93300,16,-,-,0.05,1275100,-,0.05,40.1,29,29,102
25,22,79,-,2.25,0.3,31100,2.25,2.3,186600,17,14057200,0.05,0.1,6220000,-,0.1,35.17,60,40,168
227,14,370,23.31,1.4,0.35,62200,1.35,1.4,124400,18,5255900,0.15,0.2,7837200,-0.1,0.2,29.96,818,80,682
1042,79,3514,23.78,0.7,0.2,1586100,0.65,0.7,808600,19,4385100,0.45,0.5,808600,-0.15,0.5,28.6,1455,319,1427
2819,685,9010,27.59,0.35,0.1,5784600,0.35,0.4,5100400,20,62200,1.1,1.15,62200,-0.35,1.1,30.64,739,99,1653
1157,335,4683,32.34,0.2,0.05,13310800,0.15,0.2,715300,21,62200,1.9,2,155500,-0.35,2,39.51,102,27,327
1012,215,1629,34.54,0.1,-,9143400,0.1,0.15,11227100,22,124400,2.8,2.9,31100,-0.35,2.9,44.77,26,-2,219
271,240,587,36.48,0.05,-,10667300,0.05,0.1,7432900,23,124400,3.75,3.85,31100,-0.4,3.85,50.89,7,-3,35
267,51,134,43.24,0.05,-,124400,0.05,0.1,11724700,24,124400,4.75,4.85,31100,-0.35,4.7,43.15,20,-1,61
145,28,67,55.38,0.05,-,-,-,0.05,2332500,26,-,-,-,-,-,-,-,-,-,-
