CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1800,182.8,192.8,3600,800,900,0.5,0.55,4500,-0.45,0.55,34.24,8,4,19
-,-,-,-,-,-,1800,163.3,174.6,1800,820,900,0.4,1.9,900,-,-,-,-,-,-
-,-,-,-,-,-,1800,153,163.7,3600,830,900,0.3,1.5,3600,-,-,-,-,-,-
-,-,-,-,-,-,1800,143.3,153.75,3600,840,900,0.55,1.75,900,-,-,-,-,-,-
-,-,-,-,-,-,3600,134.7,143.75,3600,850,900,1,1.5,900,-5.45,1.45,30.39,121,63,63
-,-,-,-,-,-,3600,124.65,134.15,3600,860,900,1.2,2.15,900,-0.7,1.6,29.05,11,7,13
-,-,-,-,-,-,3600,114,124.6,3600,870,900,1.9,2.05,900,-0.9,1.85,27.95,49,17,50
-,-,-,-,-,-,3600,104.6,114.75,3600,880,900,2.35,2.55,900,-0.65,2.4,27.55,32,15,51
-,-,-,-,-,-,9000,95.5,106.5,3600,890,900,3.1,3.3,2700,-1.3,3.15,27.28,79,31,102
10,4,8,-,88.5,5.5,900,90.8,93.7,900,900,900,3.8,4.05,4500,-1.35,3.95,26.74,303,-5,219
1,1,1,-,71.8,-16.7,3600,77.55,87.25,900,910,900,4.75,5.1,900,-2.35,4.65,25.72,50,13,59
6,2,3,20.93,74.25,-3.1,900,73.7,76.55,900,920,900,6.1,6.5,900,-2.15,6.5,26.18,79,13,133
1,-,-,-,62,-,1800,61.25,68.9,2700,930,900,7.8,8.2,900,-2.7,8.4,26.14,75,5,91
4,2,3,22.53,58.85,3.2,900,57.5,60.5,900,940,900,9.85,10.35,900,-3.15,10.3,25.65,91,23,77
12,4,10,21.08,50.05,3.8,900,50.8,52.7,900,950,900,12.3,12.95,900,-3.45,13.2,25.82,110,12,111
24,4,17,22.42,44.3,3.7,900,43.85,45.4,900,960,900,14.9,16.05,900,-3.85,16.3,25.7,132,16,110
24,13,58,22.71,38.2,3,900,37.5,38.7,900,970,900,18.7,19.9,900,-4.7,19.5,25.24,111,4,54
77,13,298,21.75,31.3,1.1,900,32,32.8,900,980,900,23.35,24.05,900,-5.1,24.1,25.58,182,35,116
177,108,750,22.56,27,1.4,900,26.95,27.65,900,990,900,28.15,29.05,900,-5,29,25.7,89,15,76
409,-6,554,23.1,23,1.65,900,22.4,23.15,900,1000,1800,33.45,34.6,900,-6.85,34.45,25.85,69,1,207
93,17,139,23.15,19,1.35,1800,18.6,19.4,900,1010,1800,38.3,40.5,900,-4.9,39.8,25.46,10,4,22
280,-69,437,23.44,15.8,1.2,900,15.35,16,1800,1020,900,45.2,47.05,900,-5.75,47.4,26.64,11,7,116
148,1,101,23.42,12.75,0.95,900,12.5,13.15,900,1030,2700,49.95,58,900,0.7,61,-,-,-,27
199,-10,168,23.36,10.15,-,900,10.1,10.75,900,1040,900,59.9,62.45,900,-4.25,65,30.36,4,-,24
222,8,151,23.63,8.25,-,900,8.3,8.75,900,1050,900,67.35,70.6,900,-2.35,71.65,29.7,4,1,79
116,14,74,23.99,6.75,-0.1,900,6.75,7.2,900,1060,1800,72.4,82.95,900,0.1,84,-,-,-,58
80,-3,50,23.73,5.1,-0.7,900,5.5,5.85,900,1070,3600,81.05,91.3,9000,-,80.5,-,-,-,7
151,3,90,24.94,4.65,-0.35,900,4.5,4.7,900,1080,1800,90.1,100.85,1800,-20.95,92.75,25.77,1,1,1
30,1,1,24.73,3.5,-0.1,900,3.5,4.25,900,1090,3600,99.35,109.6,9000,-,-,-,-,-,-
601,33,360,25.84,3.2,-0.6,2700,3.05,3.25,900,1100,1800,108.85,118.1,900,-,119.5,-,-,-,52
-,-,-,-,-,-,900,1.85,6.15,27000,1110,3600,117.9,132,3600,-,-,-,-,-,-
130,3,73,26.13,2,-0.65,900,2,2.35,900,1120,3600,127.45,137.7,9000,-,141,-,-,-,57
76,55,94,27.59,1.55,-0.9,900,1.3,1.55,900,1140,3600,146.5,157.3,1800,-,158,-,-,-,1
7,5,5,28.02,1,0.3,900,0.8,1.05,4500,1160,1800,166.75,176.65,3600,-,177,-,-,-,5
